,# Examples,Dimensionality,Number of Clusters,Proportion Changes,Method,Time (s)
0,1000,2,50,1,Full,0.056836605072021484
1,1000,2,50,1,Partial,0.04934406280517578
2,1000,2,50,1,sklearn,0.018763303756713867
3,1000,2,50,1,Full,0.0518796443939209
4,1000,2,50,1,Partial,0.04896855354309082
5,1000,2,50,1,sklearn,0.01641559600830078
6,1000,2,50,1,Full,0.05226445198059082
7,1000,2,50,1,Partial,0.049492597579956055
8,1000,2,50,1,sklearn,0.016179323196411133
9,1000,2,50,1,Full,0.05178666114807129
10,1000,2,50,1,Partial,0.04854869842529297
11,1000,2,50,1,sklearn,0.016160964965820312
12,1000,2,50,1,Full,0.05221056938171387
13,1000,2,50,1,Partial,0.04896378517150879
14,1000,2,50,1,sklearn,0.0163116455078125
15,1000,2,50,1,Full,0.05191850662231445
16,1000,2,50,1,Partial,0.04900503158569336
17,1000,2,50,1,sklearn,0.016077280044555664
18,1000,2,50,1,Full,0.051949501037597656
19,1000,2,50,1,Partial,0.0483701229095459
20,1000,2,50,1,sklearn,0.015997886657714844
21,1000,2,50,1,Full,0.05223536491394043
22,1000,2,50,1,Partial,0.050229549407958984
23,1000,2,50,1,sklearn,0.017334699630737305
24,1000,2,50,1,Full,0.05319929122924805
25,1000,2,50,1,Partial,0.04952406883239746
26,1000,2,50,1,sklearn,0.016134977340698242
27,1000,2,50,1,Full,0.05188345909118652
28,1000,2,50,1,Partial,0.049236297607421875
29,1000,2,50,1,sklearn,0.01615166664123535
30,1000,2,50,5,Full,0.05258512496948242
31,1000,2,50,5,Partial,0.05163145065307617
32,1000,2,50,5,sklearn,0.018443584442138672
33,1000,2,50,5,Full,0.05182504653930664
34,1000,2,50,5,Partial,0.05014610290527344
35,1000,2,50,5,sklearn,0.01634979248046875
36,1000,2,50,5,Full,0.052025794982910156
37,1000,2,50,5,Partial,0.05082440376281738
38,1000,2,50,5,sklearn,0.016020536422729492
39,1000,2,50,5,Full,0.05181407928466797
40,1000,2,50,5,Partial,0.050118207931518555
41,1000,2,50,5,sklearn,0.016053199768066406
42,1000,2,50,5,Full,0.051853179931640625
43,1000,2,50,5,Partial,0.0506136417388916
44,1000,2,50,5,sklearn,0.01594996452331543
45,1000,2,50,5,Full,0.05563497543334961
46,1000,2,50,5,Partial,0.050725698471069336
47,1000,2,50,5,sklearn,0.016055583953857422
48,1000,2,50,5,Full,0.05328869819641113
49,1000,2,50,5,Partial,0.05121493339538574
50,1000,2,50,5,sklearn,0.01606130599975586
51,1000,2,50,5,Full,0.052382707595825195
52,1000,2,50,5,Partial,0.051238059997558594
53,1000,2,50,5,sklearn,0.016092777252197266
54,1000,2,50,5,Full,0.05201363563537598
55,1000,2,50,5,Partial,0.05136871337890625
56,1000,2,50,5,sklearn,0.01617264747619629
57,1000,2,50,5,Full,0.05182647705078125
58,1000,2,50,5,Partial,0.05059027671813965
59,1000,2,50,5,sklearn,0.016053199768066406
60,1000,2,50,10,Full,0.05234837532043457
61,1000,2,50,10,Partial,0.057788848876953125
62,1000,2,50,10,sklearn,0.016158580780029297
63,1000,2,50,10,Full,0.0514979362487793
64,1000,2,50,10,Partial,0.05790972709655762
65,1000,2,50,10,sklearn,0.016104698181152344
66,1000,2,50,10,Full,0.052262306213378906
67,1000,2,50,10,Partial,0.057356834411621094
68,1000,2,50,10,sklearn,0.015961408615112305
69,1000,2,50,10,Full,0.05159616470336914
70,1000,2,50,10,Partial,0.05754446983337402
71,1000,2,50,10,sklearn,0.016021251678466797
72,1000,2,50,10,Full,0.05279183387756348
73,1000,2,50,10,Partial,0.057776451110839844
74,1000,2,50,10,sklearn,0.016244173049926758
75,1000,2,50,10,Full,0.05203366279602051
76,1000,2,50,10,Partial,0.05798959732055664
77,1000,2,50,10,sklearn,0.01617264747619629
78,1000,2,50,10,Full,0.05124092102050781
79,1000,2,50,10,Partial,0.05749845504760742
80,1000,2,50,10,sklearn,0.015790939331054688
81,1000,2,50,10,Full,0.05162310600280762
82,1000,2,50,10,Partial,0.05686187744140625
83,1000,2,50,10,sklearn,0.015799283981323242
84,1000,2,50,10,Full,0.05112957954406738
85,1000,2,50,10,Partial,0.05737590789794922
86,1000,2,50,10,sklearn,0.016180992126464844
87,1000,2,50,10,Full,0.05557656288146973
88,1000,2,50,10,Partial,0.06028914451599121
89,1000,2,50,10,sklearn,0.016312599182128906
90,1000,2,50,20,Full,0.05204010009765625
91,1000,2,50,20,Partial,0.061807870864868164
92,1000,2,50,20,sklearn,0.016170024871826172
93,1000,2,50,20,Full,0.05252647399902344
94,1000,2,50,20,Partial,0.06158804893493652
95,1000,2,50,20,sklearn,0.016649246215820312
96,1000,2,50,20,Full,0.05275702476501465
97,1000,2,50,20,Partial,0.06138920783996582
98,1000,2,50,20,sklearn,0.01689434051513672
99,1000,2,50,20,Full,0.05144047737121582
100,1000,2,50,20,Partial,0.061812639236450195
101,1000,2,50,20,sklearn,0.016127586364746094
102,1000,2,50,20,Full,0.05200004577636719
103,1000,2,50,20,Partial,0.06183362007141113
104,1000,2,50,20,sklearn,0.015967607498168945
105,1000,2,50,20,Full,0.052074432373046875
106,1000,2,50,20,Partial,0.06124711036682129
107,1000,2,50,20,sklearn,0.016107797622680664
108,1000,2,50,20,Full,0.051705121994018555
109,1000,2,50,20,Partial,0.061186790466308594
110,1000,2,50,20,sklearn,0.016109704971313477
111,1000,2,50,20,Full,0.051518917083740234
112,1000,2,50,20,Partial,0.06142783164978027
113,1000,2,50,20,sklearn,0.016220808029174805
114,1000,2,50,20,Full,0.05153226852416992
115,1000,2,50,20,Partial,0.061514854431152344
116,1000,2,50,20,sklearn,0.016139745712280273
117,1000,2,50,20,Full,0.05197954177856445
118,1000,2,50,20,Partial,0.06293511390686035
119,1000,2,50,20,sklearn,0.016440629959106445
120,1000,2,50,30,Full,0.05190467834472656
121,1000,2,50,30,Partial,0.07363557815551758
122,1000,2,50,30,sklearn,0.015932321548461914
123,1000,2,50,30,Full,0.051435232162475586
124,1000,2,50,30,Partial,0.0738670825958252
125,1000,2,50,30,sklearn,0.016122817993164062
126,1000,2,50,30,Full,0.051532745361328125
127,1000,2,50,30,Partial,0.07412004470825195
128,1000,2,50,30,sklearn,0.015980243682861328
129,1000,2,50,30,Full,0.051552534103393555
130,1000,2,50,30,Partial,0.07425737380981445
131,1000,2,50,30,sklearn,0.016223430633544922
132,1000,2,50,30,Full,0.05195450782775879
133,1000,2,50,30,Partial,0.07425761222839355
134,1000,2,50,30,sklearn,0.01590561866760254
135,1000,2,50,30,Full,0.05201888084411621
136,1000,2,50,30,Partial,0.07411694526672363
137,1000,2,50,30,sklearn,0.01618504524230957
138,1000,2,50,30,Full,0.051924943923950195
139,1000,2,50,30,Partial,0.07515764236450195
140,1000,2,50,30,sklearn,0.016157150268554688
141,1000,2,50,30,Full,0.05108451843261719
142,1000,2,50,30,Partial,0.07401561737060547
143,1000,2,50,30,sklearn,0.016172170639038086
144,1000,2,50,30,Full,0.05176591873168945
145,1000,2,50,30,Partial,0.07338142395019531
146,1000,2,50,30,sklearn,0.016381502151489258
147,1000,2,50,30,Full,0.05199241638183594
148,1000,2,50,30,Partial,0.07375717163085938
149,1000,2,50,30,sklearn,0.016226768493652344
150,1000,2,50,40,Full,0.05158710479736328
151,1000,2,50,40,Partial,0.09037351608276367
152,1000,2,50,40,sklearn,0.01598215103149414
153,1000,2,50,40,Full,0.05097365379333496
154,1000,2,50,40,Partial,0.09007811546325684
155,1000,2,50,40,sklearn,0.015987157821655273
156,1000,2,50,40,Full,0.05171513557434082
157,1000,2,50,40,Partial,0.09272599220275879
158,1000,2,50,40,sklearn,0.01681351661682129
159,1000,2,50,40,Full,0.05306720733642578
160,1000,2,50,40,Partial,0.09187722206115723
161,1000,2,50,40,sklearn,0.016143083572387695
162,1000,2,50,40,Full,0.05186915397644043
163,1000,2,50,40,Partial,0.08990859985351562
164,1000,2,50,40,sklearn,0.0161287784576416
165,1000,2,50,40,Full,0.05644345283508301
166,1000,2,50,40,Partial,0.09790563583374023
167,1000,2,50,40,sklearn,0.017085552215576172
168,1000,2,50,40,Full,0.05495643615722656
169,1000,2,50,40,Partial,0.09421396255493164
170,1000,2,50,40,sklearn,0.01640033721923828
171,1000,2,50,40,Full,0.05242109298706055
172,1000,2,50,40,Partial,0.09291911125183105
173,1000,2,50,40,sklearn,0.016030550003051758
174,1000,2,50,40,Full,0.05189704895019531
175,1000,2,50,40,Partial,0.08965325355529785
176,1000,2,50,40,sklearn,0.0161590576171875
177,1000,2,50,40,Full,0.0517270565032959
178,1000,2,50,40,Partial,0.0930490493774414
179,1000,2,50,40,sklearn,0.01642584800720215
180,1000,2,50,50,Full,0.05304718017578125
181,1000,2,50,50,Partial,0.09576964378356934
182,1000,2,50,50,sklearn,0.01630711555480957
183,1000,2,50,50,Full,0.05277514457702637
184,1000,2,50,50,Partial,0.09525752067565918
185,1000,2,50,50,sklearn,0.01641988754272461
186,1000,2,50,50,Full,0.05151104927062988
187,1000,2,50,50,Partial,0.09308266639709473
188,1000,2,50,50,sklearn,0.01605081558227539
189,1000,2,50,50,Full,0.051934003829956055
190,1000,2,50,50,Partial,0.09398412704467773
191,1000,2,50,50,sklearn,0.01600956916809082
192,1000,2,50,50,Full,0.05120491981506348
193,1000,2,50,50,Partial,0.09395408630371094
194,1000,2,50,50,sklearn,0.01604008674621582
195,1000,2,50,50,Full,0.05164766311645508
196,1000,2,50,50,Partial,0.09620928764343262
197,1000,2,50,50,sklearn,0.016279220581054688
198,1000,2,50,50,Full,0.05292820930480957
199,1000,2,50,50,Partial,0.09541440010070801
200,1000,2,50,50,sklearn,0.01606297492980957
201,1000,2,50,50,Full,0.05128955841064453
202,1000,2,50,50,Partial,0.09406256675720215
203,1000,2,50,50,sklearn,0.016255855560302734
204,1000,2,50,50,Full,0.0514073371887207
205,1000,2,50,50,Partial,0.09467005729675293
206,1000,2,50,50,sklearn,0.016099214553833008
207,1000,2,50,50,Full,0.05170083045959473
208,1000,2,50,50,Partial,0.09286212921142578
209,1000,2,50,50,sklearn,0.016704559326171875
210,1000,50,50,1,Full,0.06981062889099121
211,1000,50,50,1,Partial,0.05753922462463379
212,1000,50,50,1,sklearn,0.032942771911621094
213,1000,50,50,1,Full,0.0684819221496582
214,1000,50,50,1,Partial,0.056268930435180664
215,1000,50,50,1,sklearn,0.03141331672668457
216,1000,50,50,1,Full,0.0680990219116211
217,1000,50,50,1,Partial,0.05650639533996582
218,1000,50,50,1,sklearn,0.031789541244506836
219,1000,50,50,1,Full,0.06808948516845703
220,1000,50,50,1,Partial,0.05613541603088379
221,1000,50,50,1,sklearn,0.03165555000305176
222,1000,50,50,1,Full,0.06769847869873047
223,1000,50,50,1,Partial,0.054904937744140625
224,1000,50,50,1,sklearn,0.03084278106689453
225,1000,50,50,1,Full,0.06622982025146484
226,1000,50,50,1,Partial,0.055493831634521484
227,1000,50,50,1,sklearn,0.031053781509399414
228,1000,50,50,1,Full,0.06600642204284668
229,1000,50,50,1,Partial,0.054421424865722656
230,1000,50,50,1,sklearn,0.03068375587463379
231,1000,50,50,1,Full,0.06598997116088867
232,1000,50,50,1,Partial,0.05538058280944824
233,1000,50,50,1,sklearn,0.030757427215576172
234,1000,50,50,1,Full,0.06886911392211914
235,1000,50,50,1,Partial,0.056284189224243164
236,1000,50,50,1,sklearn,0.031777381896972656
237,1000,50,50,1,Full,0.06864094734191895
238,1000,50,50,1,Partial,0.05627799034118652
239,1000,50,50,1,sklearn,0.031580448150634766
240,1000,50,50,5,Full,0.07036709785461426
241,1000,50,50,5,Partial,0.060201406478881836
242,1000,50,50,5,sklearn,0.0321502685546875
243,1000,50,50,5,Full,0.06891512870788574
244,1000,50,50,5,Partial,0.05918741226196289
245,1000,50,50,5,sklearn,0.031583547592163086
246,1000,50,50,5,Full,0.06807351112365723
247,1000,50,50,5,Partial,0.058667659759521484
248,1000,50,50,5,sklearn,0.03255939483642578
249,1000,50,50,5,Full,0.06763935089111328
250,1000,50,50,5,Partial,0.05916118621826172
251,1000,50,50,5,sklearn,0.031516075134277344
252,1000,50,50,5,Full,0.06872320175170898
253,1000,50,50,5,Partial,0.057392120361328125
